AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,eyeDetection,time_sec
-0.13459307643393828,-0.44048357078866374,-0.6990581579038283,-0.47317919068010933,-0.49347092470092413,-0.3311038122222239,-0.27554111669784775,0.026950868982868217,-0.26453216520608924,-0.09903939994769172,-0.1802324608762915,-0.41870714446463453,0.1181465889138808,-0.07366661791016937,0,0.0
-0.346255798740932,-0.7330733707527296,-0.33765232554657143,-0.3227050258533951,-1.8859028564982565,-0.28955466256880236,-0.20056122270811252,-0.3794985842898662,-1.543694407730413,-1.3993367741210787,-0.4979645125197742,-0.5192498456896111,-0.13418277209086008,-0.5188058008818441,0,0.0078125
-0.35929489121989233,-0.7227804050410016,-0.10442643799810984,0.03844119047289208,-2.2852768596115944,-0.6937681321546546,-0.15134082866475412,-0.7847939714255651,-1.2582174142218012,-1.4703321398508924,-0.5274837908496921,-0.2696428575242274,-0.2369419205450438,-0.43664063023445754,0,0.015625
-0.14457192210947467,-0.3444594995517387,0.011984167260403179,0.16607733758457285,-1.506642386378027,-0.8349351549694473,-0.19145464832610132,-0.998136512821994,-0.7409604291034559,-0.28843071214061977,-0.19870642724180998,0.32871853635224807,-0.08368832999526774,0.1052037312380616,0,0.0234375
0.04918729369941483,-0.06378279448392347,-0.13383531567563745,0.1435150442145687,-0.7737319136275724,-0.4252357214540699,-0.3549996734513758,-1.5143027419130113,-1.4102029373422678,0.33379820634352564,0.13990371961978254,0.6212952413718863,0.12058130423150369,0.49393788907775316,0,0.03125
-0.002955786156847852,-0.2666162400027331,-0.5768787567940432,0.2997826632490811,-0.9719107208516256,-0.31861530491549306,-0.7393684340199982,-2.327153700809778,-1.781947423813749,-0.45536179321173853,-0.06886337244299451,-0.0584678397014109,0.047011735848034926,0.20789809421531455,0,0.0390625
-0.19800597414883744,-0.6159735008086258,-1.0441059557184396,0.09050958120146572,-1.324346571339972,-0.7072250573368074,-1.2691099581761602,-2.572227871596888,-1.174412880728652,-1.1046342495899555,-0.8635778073183952,-1.2211118425528145,-0.3398355895926639,-0.4617817490560896,0,0.046875
-0.2996167448987567,-0.6625706269836086,-1.369990707311234,-0.6777094985065347,-1.1921886136277,-0.8294897471100948,-1.3646369067798274,-2.6352563448351867,-1.7213609104376502,-0.8553416974416531,-1.3549158829390366,-1.604875059118056,-0.580383822663145,-0.6205099883335887,0,0.0546875
-0.23004818584495304,-0.4623668461238246,-1.4610379917210568,-1.0734165901906767,-1.0293788327963194,-0.7274665673907533,-0.8650886348448152,-3.1471706513555664,-3.098815715778381,-0.6475780530747782,-0.7658664781701789,-0.9692292343170307,-0.1519779858232275,-0.12786339994069204,0,0.0625
-0.13445196103310295,-0.3069487740773055,-1.358318514992591,-0.7650064194226511,-1.0804406656585301,-1.0189433734992013,-0.7036143634110252,-3.102140153368646,-2.6267966356512606,-0.7506131838690858,0.1440633314666218,-0.4387013619116101,0.4388761629653604,0.06865410215526253,0,0.0703125
